,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Security Code
499,Kennametal India Limtied,KENNAMET,Kennametal India Ltd.-$,Active,A ,10,INE717A01029,Industrial Machinery,Equity,505890
500,HINDUSTAN HARDY LIMITED,HINDHARD,Hindustan Hardy Ltd,Active,X ,10,INE724D01011,Auto Parts & Equipment,Equity,505893
501,"Triton Valves Ltd.,",TRITONV,Triton Valves Ltd.,Active,X ,10,INE440G01017,Auto Parts & Equipment,Equity,505978
502,Sudal Industries Limited,SUDAI,Sudal Industries Ltd.,Active,X ,10,INE618D01015,Aluminium,Equity,506003
503,"Prakash Industries Ltd.,",PRAKASH,Prakash Industries Ltd.,Active,A ,10,INE603A01013,Iron & Steel/Interm.Products,Equity,506022
504,HARIYANA VENTURES LIMITED,HVL,Hariyana Ventures Ltd,Active,ZP,10,INE219D01012,Iron & Steel/Interm.Products,Equity,506024
505,"Prabhu Steel Industries Ltd.,",ZPRBHSTE,Prabhu Steel Industries Ltd.,Active,P ,10,INE821R01015,Iron & Steel/Interm.Products,Equity,506042
506,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2,INE968D01022,Transportation - Logistics,Equity,506074
507,Grindwell Norton Ltd.,GRINDWELL,Grindwell Norton Ltd.-$,Active,A ,5,INE536A01023,Other Industrial Products,Equity,506076
508,"Lakshmi Precision Screws Ltd.,",LAKPRE,Lakshmi Precision Screws Ltd.,Active,Z ,10,INE651C01018,Iron & Steel Products,Equity,506079
509,Stanrose Mafatlal Investments & Fin,STANROS,Stanrose Mafatlal Investments And Finance Ltd.,Active,X ,10,INE441L01015,Investment Companies,Equity,506105
510,Genesys International Corporation Ltd.,GENESYS,Genesys International Corporation Ltd.,Active,B ,5,INE727B01026,IT Software Products,Equity,506109
511,"Alna Trading & Exports Ltd.,",ALNATRD,Alna Trading & Exports Ltd.,Active,P ,10,INE07I701011,Comm.Trading  & Distribution,Equity,506120
512,Pankaj Piyush Trade & Inv. Ltd,PANKAJPIYUS,Pankaj Piyush Trade & Investment Ltd,Active,XT,10,INE820M01018,Auto Parts & Equipment,Equity,506122
513,Parnax Lab Limited,PARNAXLAB,Parnax Lab Ltd.,Active,X ,10,INE383L01019,Pharmaceuticals,Equity,506128
514,Intellivate Capital Ventures Limited,INTELLCAP,Intellivate Capital Ventures Ltd.,Active,XT,1,INE512D01028,Plastic Products,Equity,506134
515,Visagar Polytex Ltd,VIVIDHA,Visagar Polytex Ltd.,Active,B ,1,INE370E01029,Textiles,Equity,506146
516,Ishwarshakti Holdings & Traders Ltd,ISHWATR,Ishwarshakti Holdings & Traders Ltd.,Active,XT,10,INE073I01012,Finance (including NBFCs),Equity,506161
517,Terraform Magnum Limited,TERRAFORM,Terraform Magnum Ltd.,Active,P ,10,INE122V01010,Other Financial Services,Equity,506162
518,Apis India Ltd,APIS,Apis India Ltd.,Active,XT,10,INE070K01014,Other Food Products,Equity,506166
519,"Khatau Exim Ltd.,",ZKHATAUE,Khatau Exim Ltd.,Active,XT,10,INE092P01017,Comm.Trading  & Distribution,Equity,506178
520,EMERGENT INDUSTRIAL SOLUTIONS LIMITED,EMERGENT,Emergent Industrial Solutions Ltd,Active,XT,10,INE668L01013,Comm.Trading  & Distribution,Equity,506180
521,Kanani Industries Ltd,KANANIIND,Kanani Industries Ltd.,Active,T ,1,INE879E01037,Other Apparels & Accessories,Equity,506184
522,GALAXY CLOUD KITCHENS LIMITED,GCKL,Galaxy Cloud Kitchens Ltd-$,Active,X ,10,INE403B01016,Packaged Foods,Equity,506186
523,"Sarvamangal Mercantile Co. Ltd.,",ZSARVAMA,Sarvamangal Mercantile Co.Ltd.,Active,XT,10,INE978L01016,Misc.Commercial Services,Equity,506190
524,Arihant Superstructures Limited,ASL,Arihant Superstructures Limited,Active,B ,10,INE643K01018,Realty,Equity,506194
525,Viksit Engineering Ltd,VIKSHEN,Viksit Engineering Ltd.,Active,XT,10,INE965V01012,Comm.Trading  & Distribution,Equity,506196
526,Bliss GVS Pharma Limited,BLISSGVS,Bliss Gvs Pharma Ltd.,Active,A ,1,INE416D01022,Pharmaceuticals,Equity,506197
527,INEOS Styrolution India Limited,INEOSSTYRO,Ineos Styrolution India Ltd,Active,B ,10,INE189B01011,Specialty Chemicals,Equity,506222
528,Alembic  Ltd,ALEMBICLTD,Alembic Ltd.,Active,A ,2,INE426A01027,Pharmaceuticals,Equity,506235
529,Amines & Plasticizers Ltd,AMNPLST,Amines & Plasticizers Ltd.,Active,X ,2,INE275D01022,Commodity Chemicals,Equity,506248
530,"Anuh Pharma Ltd.,",ANUHPHR,Anuh Pharma Ltd.,Active,X ,5,INE489G01022,Pharmaceuticals,Equity,506260
531,Modison Metals Ltd,MODISNME,Modison Metals Ltd.-$,Active,B ,1,INE737D01021,Other Elect.Equip./ Prod.,Equity,506261
532,Bayer CropScience Limited.,BAYERCROP,Bayer Cropscience Ltd.,Active,A ,10,INE462A01022,Agrochemicals,Equity,506285
533,Sashwat Technocrats Limited,SASHWAT,Sashwat Technocrats Limited,Active,P ,10,INE789D01014,Construction Materials,Equity,506313
534,"Chemo Pharma Laboratories Ltd.,",CHEMOPH,Chemo Pharma Laboratories Ltd.,Active,XT,10,INE320M01019,Pharmaceuticals,Equity,506365
535,Clariant Chemicals (India) Limited,CLNINDIA,Clariant Chemicals (India) Ltd.,Active,A ,10,INE492A01029,Specialty Chemicals,Equity,506390
536,Coromandel International Limited,COROMANDEL,Coromandel International Ltd.,Active,A ,1,INE169A01031,Fertilizers,Equity,506395
537,Deepak Nitrite Limited,DEEPAKNI,Deepak Nitrite Ltd.-$,Active,A ,2,INE288B01029,Commodity Chemicals,Equity,506401
538,"Dharamsi Morarji Chemical Co. Ltd.,",DHARAMSI,Dharamsi Morarji Chemical Co.Ltd.,Active,X ,10,INE505A01010,Specialty Chemicals,Equity,506405
539,FERMENTA BIOTECH LIMITED,FERMENTA,Fermenta Biotech Ltd,Active,X ,5,INE225B01021,Pharmaceuticals,Equity,506414
540,GOCL Corporation Limited,GOCLCORP,Gocl Corporation Ltd-$,Active,B ,2,INE077F01035,Oil Marketing & Distribution,Equity,506480
541,"Jayshree Chemicals Ltd.,",JAYCH,Jayshree Chemicals Ltd.,Active,X ,10,INE693E01016,Commodity Chemicals,Equity,506520
542,"J.L. Morison (India) Ltd.,",JLMORI,J.L.Morison (India) Ltd.,Active,X ,10,INE430D01015,Personal Products,Equity,506522
543,Kanoria Chemicals & Industries Ltd.,KANORICHEM,Kanoria Chemicals & Industries Ltd.,Active,B ,5,INE138C01024,Commodity Chemicals,Equity,506525
544,Keltech Energies Ltd.,KELENRG,Keltech Energies Ltd.,Active,X ,10,INE881E01017,Specialty Chemicals,Equity,506528
545,Kemp & Company Limited,KEMP,Kemp & Company Ltd.,Active,XT,10,INE060E01018,Containers & Packaging,Equity,506530
546,Nitta Gelatin India Ltd,NITTAGELA,Nitta Gelatin India Ltd.-$,Active,X ,10,INE265B01019,Specialty Chemicals,Equity,506532
547,"M.P. Agro Industries Ltd.,",MPAGI,M.P.Agro Industries Ltd.,Active,XT,10,INE468C01017,Fertilizers,Equity,506543
548,"Oriental Carbon & Chemicals Ltd.,",ORIENTCQ,Oriental Carbon & Chemicals Ltd.-$,Active,A ,10,INE321D01016,Commodity Chemicals,Equity,506579
549,"Phillips Carbon Black Ltd.,",PHILIPCARB,Phillips Carbon Black Ltd.,Active,A ,2,INE602A01023,Carbon Black,Equity,506590
